candidate,region,address,votes,deltas
kolo,AR,RKCXF7EYaAJHmiyDKmubhQ88dYc7CbTZxx,196.99980097,"[{'satoshis': 8097, 'txid': 'cdfd708fd3540ceaf14f1aaf4371123f0413d8d501abea2e545bf418d4643eca', 'index': 4, 'blockindex': 18, 'height': 27557, 'address': 'RKCXF7EYaAJHmiyDKmubhQ88dYc7CbTZxx'}, {'satoshis': 100000, 'txid': '5fd3d157d69b037d9cf0400b1519b4656497876e19219bff7932dcb403d7caa8', 'index': 1, 'blockindex': 1, 'height': 32938, 'address': 'RKCXF7EYaAJHmiyDKmubhQ88dYc7CbTZxx'}, {'satoshis': 18000000000, 'txid': 'd313f1850256b7c7aeefad8136bfd3e0a1b0fb67c0e09b44a3d729e60d0e9e64', 'index': 1, 'blockindex': 1, 'height': 41931, 'address': 'RKCXF7EYaAJHmiyDKmubhQ88dYc7CbTZxx'}, {'satoshis': 1300000000, 'txid': '1a73f29eb363c6d6895288332c47b918098a3143e39d083a2aa2e6fb2ea813a5', 'index': 1, 'blockindex': 2, 'height': 42175, 'address': 'RKCXF7EYaAJHmiyDKmubhQ88dYc7CbTZxx'}, {'satoshis': 399872000, 'txid': '4c9783539bdf43d4f3999caf0ad152797e51a0c46c268390dda82d04c6c6e0c0', 'index': 0, 'blockindex': 1, 'height': 50321, 'address': 'RKCXF7EYaAJHmiyDKmubhQ88dYc7CbTZxx'}]"
kolox,AR,RPFUCG4nE5EfR41P4rcYmMbKgxmu9Ex8kX,180.00100000,"[{'satoshis': 100000, 'txid': 'a4bb3d242d05051956729a43effe813f7510d55ab4d1c766b97efd1236e21b42', 'index': 1, 'blockindex': 2, 'height': 32940, 'address': 'RPFUCG4nE5EfR41P4rcYmMbKgxmu9Ex8kX'}, {'satoshis': 18000000000, 'txid': '6b51f741c9038d7bfbe05a80f92081c764ff8d0b8445cbb2407c3fc500857e35', 'index': 1, 'blockindex': 1, 'height': 41932, 'address': 'RPFUCG4nE5EfR41P4rcYmMbKgxmu9Ex8kX'}]"
tonyl,AR,RLpHDdR1Ez3YyLY1QVbsKxuPNn8eeLR47z,511116.11099000,"[{'satoshis': 100000, 'txid': 'a4dc6dc35fdf5f7f31b6269549cfd1baa4198208a832b4bd05c5a05d8337f58b', 'index': 1, 'blockindex': 1, 'height': 32940, 'address': 'RLpHDdR1Ez3YyLY1QVbsKxuPNn8eeLR47z'}, {'satoshis': 333300000000, 'txid': '92672e5141dc7199dc241160cb4a1702b6b4fa6cd872cd171ebaf8732f3aa441', 'index': 0, 'blockindex': 1, 'height': 36079, 'address': 'RLpHDdR1Ez3YyLY1QVbsKxuPNn8eeLR47z'}, {'satoshis': 777700000000, 'txid': '0d704df3f0a3d063f8a7a115a1f5719e2985074a6d8ada0f22d8c8c722c58814', 'index': 0, 'blockindex': 2, 'height': 36090, 'address': 'RLpHDdR1Ez3YyLY1QVbsKxuPNn8eeLR47z'}, {'satoshis': 111000000, 'txid': '7fcdcb39874497f83aa51c30e50126a9856991c4023ce29111430b4c4d877471', 'index': 0, 'blockindex': 1, 'height': 44650, 'address': 'RLpHDdR1Ez3YyLY1QVbsKxuPNn8eeLR47z'}, {'satoshis': 10000000000000, 'txid': '4693dd7b6a01d42c3cb750c02af4f00438009191b153e4f82657ab187cd89444', 'index': 1, 'blockindex': 1, 'height': 45859, 'address': 'RLpHDdR1Ez3YyLY1QVbsKxuPNn8eeLR47z'}, {'satoshis': 10000000000000, 'txid': '90782bf63742a199c435e1340d933bff0ec8da856a0b8074dce11f3feefc6948', 'index': 1, 'blockindex': 1, 'height': 50182, 'address': 'RLpHDdR1Ez3YyLY1QVbsKxuPNn8eeLR47z'}, {'satoshis': 499999000, 'txid': 'a7ef2b79ab9ca758626bdec95ea541e6f3a4dfa67426037971d61adf3abb9496', 'index': 0, 'blockindex': 1, 'height': 50322, 'address': 'RLpHDdR1Ez3YyLY1QVbsKxuPNn8eeLR47z'}, {'satoshis': 20000000000000, 'txid': '46970ea935092c8b72570cbabfed7a15ab1ea453485ea925440f16fa6847201d', 'index': 1, 'blockindex': 1, 'height': 50552, 'address': 'RLpHDdR1Ez3YyLY1QVbsKxuPNn8eeLR47z'}, {'satoshis': 10000000000000, 'txid': '3e183154d20c835a5218bd2a82243e1fc0cf3064a0c273386678d041ece020fa', 'index': 1, 'blockindex': 1, 'height': 50569, 'address': 'RLpHDdR1Ez3YyLY1QVbsKxuPNn8eeLR47z'}]"
dimxy,AR,RSmGPk9KjoK8rGeAGKPkBxA8XSBQ3RinJ7,521355.84856066,"[{'satoshis': 100000, 'txid': '087509aaeb83e271287d7984fc1321a9876f7676432b94ea4ed5ef925acad4b2', 'index': 0, 'blockindex': 1, 'height': 32939, 'address': 'RSmGPk9KjoK8rGeAGKPkBxA8XSBQ3RinJ7'}, {'satoshis': 333300000000, 'txid': '2fe1e4bd8bcc51ae162f4d6fdf628c49bb1aad34248bff4521a082f8343e364c', 'index': 0, 'blockindex': 1, 'height': 36093, 'address': 'RSmGPk9KjoK8rGeAGKPkBxA8XSBQ3RinJ7'}, {'satoshis': 100000000000, 'txid': '2deca8a4c189d7d4122cf55ca0caf9ada04bbba79b0666d5d36658a22f9c08d6', 'index': 0, 'blockindex': 1, 'height': 44419, 'address': 'RSmGPk9KjoK8rGeAGKPkBxA8XSBQ3RinJ7'}, {'satoshis': 100000000000, 'txid': '141f89669c858a65a538bca01864e739a3f751d2c8443c52e87fbe3c1e62e726', 'index': 0, 'blockindex': 1, 'height': 44431, 'address': 'RSmGPk9KjoK8rGeAGKPkBxA8XSBQ3RinJ7'}, {'satoshis': 10000000000000, 'txid': '84bff3747fd4170949891a9bbda6e3f0eebbb7d61972172c8969d10dec58c123', 'index': 1, 'blockindex': 1, 'height': 45854, 'address': 'RSmGPk9KjoK8rGeAGKPkBxA8XSBQ3RinJ7'}, {'satoshis': 10000000000000, 'txid': 'bda36f2973529fd1bad9469b18a2f8ff8d3c2f22d3d40f10b8a70dcc7e6771bc', 'index': 1, 'blockindex': 2, 'height': 50182, 'address': 'RSmGPk9KjoK8rGeAGKPkBxA8XSBQ3RinJ7'}, {'satoshis': 20000000000000, 'txid': '5599868aa2f9b890b501cb4ec41ca5914a073352b8b19451acde49caf3ac4e37', 'index': 1, 'blockindex': 2, 'height': 50552, 'address': 'RSmGPk9KjoK8rGeAGKPkBxA8XSBQ3RinJ7'}, {'satoshis': 10900284756066, 'txid': '44d15c74ea12b572ce37b0b8ee580d9c471592a75ba6547b65c3fb59fad909b2', 'index': 1, 'blockindex': 1, 'height': 50571, 'address': 'RSmGPk9KjoK8rGeAGKPkBxA8XSBQ3RinJ7'}, {'satoshis': 502000000000, 'txid': 'b825b5d14a398d3249b4a0cbba04dc63590f310b0edc20f4c08e281defc523b7', 'index': 0, 'blockindex': 6, 'height': 51011, 'address': 'RSmGPk9KjoK8rGeAGKPkBxA8XSBQ3RinJ7'}, {'satoshis': 200000000000, 'txid': '8e5de7d67868c992a906a68b1955b26a1e597c0961c2c2b5639694aa797c8c73', 'index': 0, 'blockindex': 1, 'height': 51012, 'address': 'RSmGPk9KjoK8rGeAGKPkBxA8XSBQ3RinJ7'}]"
mcrypt,AR,RT6ftBsPBPCwErGSti35hLJuzWLEyH3RK4,0.00100000,"[{'satoshis': 100000, 'txid': '633807b450bd37cab80e9e7a34de2610b4b14c34b1b9282f08a9ef1829433d87', 'index': 1, 'blockindex': 6, 'height': 35496, 'address': 'RT6ftBsPBPCwErGSti35hLJuzWLEyH3RK4'}]"
marmara,AR,RPZYurYawfnRLdsLqHzf79KJuNicTJVVfV,631914.29918662,"[{'satoshis': 100000, 'txid': '362ccc475af5caf9e9f5dd569e6795407a5f4e9f232e55c1d1eee8bc064699c0', 'index': 1, 'blockindex': 5, 'height': 35496, 'address': 'RPZYurYawfnRLdsLqHzf79KJuNicTJVVfV'}, {'satoshis': 4908199990000, 'txid': '57fccc1c38c392744ef7639bb52a4458a34bf8e9f3cde91ae226dec44b1f03d2', 'index': 0, 'blockindex': 1, 'height': 39977, 'address': 'RPZYurYawfnRLdsLqHzf79KJuNicTJVVfV'}, {'satoshis': 4500000000, 'txid': 'cb532a32754429ce268dd2fba0a3f6d7704fdbbe02f0158503db1d34d4b36af0', 'index': 0, 'blockindex': 1, 'height': 45425, 'address': 'RPZYurYawfnRLdsLqHzf79KJuNicTJVVfV'}, {'satoshis': 10000000000000, 'txid': '801c7759be52a011c54095d893d98a85ba75d05c909950d1967999622e21b234', 'index': 1, 'blockindex': 2, 'height': 45846, 'address': 'RPZYurYawfnRLdsLqHzf79KJuNicTJVVfV'}, {'satoshis': 7865399990000, 'txid': 'cf9b429060868e4cd062e038af5c340edaf91a87d5121bace93656d1938e6ce2', 'index': 0, 'blockindex': 1, 'height': 47057, 'address': 'RPZYurYawfnRLdsLqHzf79KJuNicTJVVfV'}, {'satoshis': 20000000000000, 'txid': 'f81befc4776611a0b1ba0eb5fe2b65210c806a7fe876ac7aa2984fc186973cf8', 'index': 1, 'blockindex': 1, 'height': 50568, 'address': 'RPZYurYawfnRLdsLqHzf79KJuNicTJVVfV'}, {'satoshis': 20000000000000, 'txid': '08a20b92175a00379d3c181ecb48e6830c0db888d88e34d81f07ddc6d23f9e8b', 'index': 1, 'blockindex': 1, 'height': 50577, 'address': 'RPZYurYawfnRLdsLqHzf79KJuNicTJVVfV'}, {'satoshis': 403329838662, 'txid': 'f0375d6e4d4d1659317f9f5e6ec79209f6519c1b5d53fa9f5f3fdf0fe0683583', 'index': 0, 'blockindex': 1, 'height': 51013, 'address': 'RPZYurYawfnRLdsLqHzf79KJuNicTJVVfV'}, {'satoshis': 10000000000, 'txid': '29838b2c545b371c66cf7f43c7e8cff5bc9986f03ba9b5577818356ca9073164', 'index': 0, 'blockindex': 1, 'height': 51152, 'address': 'RPZYurYawfnRLdsLqHzf79KJuNicTJVVfV'}]"
artem.pikulin,AR,RAhjfR4ZThUKfgFf1evmJmTtAZmGfHp2BM,338303.33613302,"[{'satoshis': 100000, 'txid': 'b11cabd820a6a33c8c8fd7330889b566eb9546e1f2a9cbd9872ca8e143e89696', 'index': 1, 'blockindex': 2, 'height': 36991, 'address': 'RAhjfR4ZThUKfgFf1evmJmTtAZmGfHp2BM'}, {'satoshis': 5470954085779, 'txid': '14bafb11c67d615894ff6f9a193f3981650f4a61c646d433e11b650902beec8f', 'index': 0, 'blockindex': 1, 'height': 47549, 'address': 'RAhjfR4ZThUKfgFf1evmJmTtAZmGfHp2BM'}, {'satoshis': 2319677467227, 'txid': '93d3be3548b0cd8f3670de1e21485e4b545c8367ac9a6c8b0747dbc44ed58c5d', 'index': 0, 'blockindex': 1, 'height': 48112, 'address': 'RAhjfR4ZThUKfgFf1evmJmTtAZmGfHp2BM'}, {'satoshis': 15892897596, 'txid': 'c5ac9bf9a458854f484cf54da8d4021cf2b54e1df55ac616c7ad611ff634da18', 'index': 0, 'blockindex': 1, 'height': 48275, 'address': 'RAhjfR4ZThUKfgFf1evmJmTtAZmGfHp2BM'}, {'satoshis': 8945299990000, 'txid': '9152b19b8ade3e1d8a5c442e4cd0ca7409b05866a06d4b80dfc3dc84ad814dd9', 'index': 0, 'blockindex': 1, 'height': 48400, 'address': 'RAhjfR4ZThUKfgFf1evmJmTtAZmGfHp2BM'}, {'satoshis': 15900800000000, 'txid': '077550b8b73e93f969e782f412a39341e943be58e2c23fe4e762c3a661274495', 'index': 0, 'blockindex': 1, 'height': 50920, 'address': 'RAhjfR4ZThUKfgFf1evmJmTtAZmGfHp2BM'}, {'satoshis': 100009092700, 'txid': 'd0acc35046c69d975847041b952185a660326f9a3e0c78e5a513b9009d2798d4', 'index': 0, 'blockindex': 1, 'height': 51164, 'address': 'RAhjfR4ZThUKfgFf1evmJmTtAZmGfHp2BM'}, {'satoshis': 77700000000, 'txid': 'b74ff48030fdaccf9e076211a51e13edc065c033149a83e3242f37456b52474f', 'index': 0, 'blockindex': 1, 'height': 51167, 'address': 'RAhjfR4ZThUKfgFf1evmJmTtAZmGfHp2BM'}, {'satoshis': 399999990000, 'txid': 'db2abea00e643785ce123b93d0437b0334e65a16f671f9c51ab1523cc8e024ca', 'index': 0, 'blockindex': 1, 'height': 51173, 'address': 'RAhjfR4ZThUKfgFf1evmJmTtAZmGfHp2BM'}, {'satoshis': 199999990000, 'txid': '10281649bd1ab2489787f4aa2700ea904a201fc13a7eceac926730c2bb12f4e4', 'index': 0, 'blockindex': 4, 'height': 51177, 'address': 'RAhjfR4ZThUKfgFf1evmJmTtAZmGfHp2BM'}, {'satoshis': 400000000000, 'txid': 'c32b0459227925ff85daab6117a8d8e87e0fbaad3a60bb3ba5019ec7f41b5c48', 'index': 0, 'blockindex': 1, 'height': 51178, 'address': 'RAhjfR4ZThUKfgFf1evmJmTtAZmGfHp2BM'}]"
batman,AR,RUEYAufF3Di8c5sycJgsVZdsH4BSqhM59u,601304.85994392,"[{'satoshis': 100000, 'txid': '4e115c23814eda7f171c5853b0eb0451ced731b986ffc3b08b775e87d896cc04', 'index': 1, 'blockindex': 1, 'height': 36991, 'address': 'RUEYAufF3Di8c5sycJgsVZdsH4BSqhM59u'}, {'satoshis': 60000000000000, 'txid': 'de5572b3ae370ad08143b9bf3cde8b5f7a282d32bc537fd23e2b178091aa814a', 'index': 0, 'blockindex': 2, 'height': 50936, 'address': 'RUEYAufF3Di8c5sycJgsVZdsH4BSqhM59u'}, {'satoshis': 130485894392, 'txid': 'b0840a9f1b2eff26003adf2f325d6ba988dd72e34fdf3dfda44cd65ceee652e5', 'index': 0, 'blockindex': 2, 'height': 51069, 'address': 'RUEYAufF3Di8c5sycJgsVZdsH4BSqhM59u'}]"
madmax,AR,RYRyw6fzDGNoRc7SBSB1UJRRmoaajkAfae,11718.86090000,"[{'satoshis': 100000, 'txid': '1030b816c9fe8c9e7e7a374b5ffa9bdc5d2dec9fbbf598fb5bf31c66ba4d9f99', 'index': 1, 'blockindex': 2, 'height': 37923, 'address': 'RYRyw6fzDGNoRc7SBSB1UJRRmoaajkAfae'}, {'satoshis': 1171885990000, 'txid': 'b5067d576d9417b9ed7d47ccf62987f070b0353e57b5172640588e8b6ce0ab3b', 'index': 0, 'blockindex': 1, 'height': 41575, 'address': 'RYRyw6fzDGNoRc7SBSB1UJRRmoaajkAfae'}]"
dimxy2,AR,RQonayk6bF8RrpxCbMmkqfJgkBfCnR1TDJ,3111.00100000,"[{'satoshis': 100000, 'txid': '190e0800641e2d02f85ad094cc396f4a62e32e78ddf2ae62bb2753879fa13d0c', 'index': 1, 'blockindex': 1, 'height': 37924, 'address': 'RQonayk6bF8RrpxCbMmkqfJgkBfCnR1TDJ'}, {'satoshis': 111100000000, 'txid': 'be82ae341f0d2854f3c2273aa3cea3e2061be71b769af5280b2312bf76661d7e', 'index': 0, 'blockindex': 1, 'height': 44407, 'address': 'RQonayk6bF8RrpxCbMmkqfJgkBfCnR1TDJ'}, {'satoshis': 100000000000, 'txid': 'f0a61cbdb7caf75960a22b8a0d73c8dc847e1a59d2fa9c434be87f591c8c2400', 'index': 0, 'blockindex': 1, 'height': 44421, 'address': 'RQonayk6bF8RrpxCbMmkqfJgkBfCnR1TDJ'}, {'satoshis': 100000000000, 'txid': 'dab43f969faaef4db22638440e8d5090648ba26a15e720237652a1290574147b', 'index': 0, 'blockindex': 1, 'height': 44432, 'address': 'RQonayk6bF8RrpxCbMmkqfJgkBfCnR1TDJ'}]"
decker,EU,RKjE9R2FLLmEUm7DKQ714ehMqSE7qdT3rv,838998.00100000,"[{'satoshis': 100000, 'txid': '04a29f831a9fe8c85aa568f69418f550db63be4ce0415729be782ef4f2396445', 'index': 1, 'blockindex': 20, 'height': 28993, 'address': 'RKjE9R2FLLmEUm7DKQ714ehMqSE7qdT3rv'}, {'satoshis': 50000000000, 'txid': '82dfdf21eac21d3c900898ba24fc269a0960c3294e3a963de7fca7d1af5ce97a', 'index': 0, 'blockindex': 1, 'height': 31859, 'address': 'RKjE9R2FLLmEUm7DKQ714ehMqSE7qdT3rv'}, {'satoshis': 3333300000000, 'txid': '5ae1be054e5eb99fe705bbc9449dd289b564429af23801b497b0902364878247', 'index': 1, 'blockindex': 1, 'height': 44396, 'address': 'RKjE9R2FLLmEUm7DKQ714ehMqSE7qdT3rv'}, {'satoshis': 7777700000000, 'txid': '64228e5b60d73ce25cc4ff0b0e8c5d9512182805493e09921b5b9c4380635b2a', 'index': 1, 'blockindex': 1, 'height': 45853, 'address': 'RKjE9R2FLLmEUm7DKQ714ehMqSE7qdT3rv'}, {'satoshis': 10000000000000, 'txid': '535f2fb47991c322261829125e241b21266602964e7b0e4770e58204123822fd', 'index': 1, 'blockindex': 5, 'height': 50181, 'address': 'RKjE9R2FLLmEUm7DKQ714ehMqSE7qdT3rv'}, {'satoshis': 3333300000000, 'txid': '9073a8e31dae77b009dd5b43203fabb8990f47ac53e1853a0e5b8945a48b5762', 'index': 1, 'blockindex': 1, 'height': 50381, 'address': 'RKjE9R2FLLmEUm7DKQ714ehMqSE7qdT3rv'}, {'satoshis': 20000000000000, 'txid': 'b948c69b070bec499e77b7e2e6fa5cf01d38a523c187d6278ae55dc6f80948e0', 'index': 1, 'blockindex': 6, 'height': 50559, 'address': 'RKjE9R2FLLmEUm7DKQ714ehMqSE7qdT3rv'}, {'satoshis': 20000000000000, 'txid': 'dde7c8dec7541e5a10cb7bbdd1d08ff0d0e0df1a2b1e3129c3d8c21c9906ab47', 'index': 1, 'blockindex': 3, 'height': 50561, 'address': 'RKjE9R2FLLmEUm7DKQ714ehMqSE7qdT3rv'}, {'satoshis': 5555500000000, 'txid': 'bf3e7e6efcd171979e328709bbb40da6e52ea2a9da3ce2320c1517aebf1005e6', 'index': 1, 'blockindex': 1, 'height': 51112, 'address': 'RKjE9R2FLLmEUm7DKQ714ehMqSE7qdT3rv'}, {'satoshis': 3000000000000, 'txid': '9eba8725a2a6c959e4ae3944b045ab67560347dcfafe4938e43d851533bb0af4', 'index': 1, 'blockindex': 2, 'height': 51119, 'address': 'RKjE9R2FLLmEUm7DKQ714ehMqSE7qdT3rv'}, {'satoshis': 300000000000, 'txid': '58a6d0e02705132f830977180c51a9bdf4d96c97515942421118d4d5665d47b6', 'index': 1, 'blockindex': 4, 'height': 51123, 'address': 'RKjE9R2FLLmEUm7DKQ714ehMqSE7qdT3rv'}, {'satoshis': 550000000000, 'txid': '1a7e114120ed9da8959839cfadb098137848698efa33f8a04b33eaf3c7deccd7', 'index': 1, 'blockindex': 3, 'height': 51128, 'address': 'RKjE9R2FLLmEUm7DKQ714ehMqSE7qdT3rv'}, {'satoshis': 10000000000000, 'txid': 'dff8611c30eeea17329ff3f7d4db26daf8782d2c1f9a8696c5c5601a031a4677', 'index': 2, 'blockindex': 1, 'height': 51177, 'address': 'RKjE9R2FLLmEUm7DKQ714ehMqSE7qdT3rv'}]"
ptyx,EU,RUHbExoy17yC3ig146D1xuKTi2EdJdHoSH,0.00100000,"[{'satoshis': 100000, 'txid': 'eca87723215fcc69bef9c4db86b5130712280be649e34eab14cc7c9027a07aaa', 'index': 1, 'blockindex': 16, 'height': 28993, 'address': 'RUHbExoy17yC3ig146D1xuKTi2EdJdHoSH'}]"
chmex,EU,RTVKa9Dqa1bfzLDCSUo5zmfHFZBZyr3ftW,782442.80969589,"[{'satoshis': 100000, 'txid': 'e442fe7e65466ae3761263f248b3aac9b74adc216f8ba754ad64bc48864cfce0', 'index': 1, 'blockindex': 1, 'height': 28993, 'address': 'RTVKa9Dqa1bfzLDCSUo5zmfHFZBZyr3ftW'}, {'satoshis': 10000000000000, 'txid': 'bd4d622c3703529367715be291070776e73ca7f5ae092f2b95476d312c4e682c', 'index': 1, 'blockindex': 1, 'height': 45842, 'address': 'RTVKa9Dqa1bfzLDCSUo5zmfHFZBZyr3ftW'}, {'satoshis': 2676480869589, 'txid': 'a8c3ab02b010dc06a83895e8678f3dd5952cbcbdd627ba48108ef44bba1172e5', 'index': 0, 'blockindex': 1, 'height': 48782, 'address': 'RTVKa9Dqa1bfzLDCSUo5zmfHFZBZyr3ftW'}, {'satoshis': 10000000000000, 'txid': '78aab71ae6929e6b082b4c1f80580fa69063d22f0afbb1b578c671912fea12bf', 'index': 1, 'blockindex': 3, 'height': 50181, 'address': 'RTVKa9Dqa1bfzLDCSUo5zmfHFZBZyr3ftW'}, {'satoshis': 20000000000000, 'txid': '3dc4a1d23d49328ba1061d4b96792d3af41b23c0729ae2838844221839999db3', 'index': 1, 'blockindex': 8, 'height': 50559, 'address': 'RTVKa9Dqa1bfzLDCSUo5zmfHFZBZyr3ftW'}, {'satoshis': 14867800000000, 'txid': '842c0533a72ce66289c466311fac68c696735a9e794bd36ebd3c34c65ccc2544', 'index': 0, 'blockindex': 2, 'height': 51086, 'address': 'RTVKa9Dqa1bfzLDCSUo5zmfHFZBZyr3ftW'}, {'satoshis': 17700000000000, 'txid': 'a4b91acf51cb3095078a92ce91772314a902a33f9f71f7146e6e1d88a45dad57', 'index': 1, 'blockindex': 1, 'height': 51088, 'address': 'RTVKa9Dqa1bfzLDCSUo5zmfHFZBZyr3ftW'}, {'satoshis': 3000000000000, 'txid': 'cb02a2fab947679bd61c2698801ce448c8351b8a2fc537f7d5cfb3ef94b4aa81', 'index': 1, 'blockindex': 1, 'height': 51091, 'address': 'RTVKa9Dqa1bfzLDCSUo5zmfHFZBZyr3ftW'}]"
